"Seq","Phase","Trigger/Event","Source File","Function/Block","Inputs/Parameters","Pre-State","Action/Logic","Library/API Used","API URL","Success Path","Error Path","Post-State","UI Impact (Dashboard Tab Only)","Next Trigger"
"1","Navigation","User clicks DashboardManager top nav","app/page.tsx","DashboardManager button onClick","setSelectedMenu('DashboardManager'), setAboutSubMenuOpen(false)","selectedMenu != DashboardManager","Set menu key to DashboardManager and close submenu","React useState","N/A","State updates accepted by React scheduler","N/A","selectedMenu='DashboardManager'; aboutSubMenuOpen=false","DashboardManager view route selected","Render condition for selectedMenu"
"2","Component Mount","selectedMenu matches DashboardManager","app/page.tsx","Conditional branch renders <DashboardManager />","selectedMenu","DashboardManager not mounted in current frame","Instantiate DashboardManager component tree","React render engine","N/A","DashboardManager mounts","N/A","DashboardManager initial render cycle begins","Dashboard Manager screen visible","DashboardManager useState/useEffect initialization"
"3","State Initialization","First DashboardManager render","app/DashboardManager.tsx","Component state declarations","useState initial values","No local component state instance yet","Initialize dashboard-related states","React hooks","N/A","State handles created","N/A","dashboards=[]; selectedDashboard=null; widgets=[]; layout=[]; loading=true; activeTab='dashboards'; error=null; modal flags false","Spinner branch eligible; dashboard tab default selected","Mount effects execute"
"4","Bootstrap Effect Start","useEffect([]) executes after mount","app/DashboardManager.tsx","Bootstrap async IIFE","loadDashboards -> loadDataSources -> loadFilters -> loadDashboardFilterMappings -> fetchContextMenus -> fetchWidgetContextMenuAssignments","Initial state from seq 3","Run startup loaders in await sequence","React useEffect + async/await","Multiple (see specific rows)","First awaited call starts with loadDashboards","Any loader catch sets error in respective function","Intermediate states update per loader","Data hydration begins for dashboard tab and selected panel","loadDashboards()"
"5","Dashboards Load Begin","Called inside bootstrap","app/DashboardManager.tsx","loadDashboards() entry","none","loading may be true already; error could be stale from prior actions","setLoading(true); setError(null)","React state setters","N/A","Load operation prepared","N/A","loading=true; error=null","Spinner shown while data loads","apiFetch('/dashboards')"
"6","Dashboard API Request","Inside loadDashboards try","app/DashboardManager.tsx","apiFetch<Dashboard[]>('/dashboards')","path='/dashboards', default method GET","dashboards possibly empty/stale","Build URL, create fetch options, call fetch, parse JSON","Custom apiFetch + Fetch API","https://intelligentsalesman.com/ism1/API/dashboard_manager/api/index.php?resource=dashboards","Returns parsed Dashboard[]","Throws Error on non-OK/network/parse issues","data variable populated with response","No immediate visual change until state set","setDashboards(data||[])"
"7","Dashboard Data Assign","After successful API response","app/DashboardManager.tsx","setDashboards(data || [])","data from seq 6","dashboards old value","Replace dashboard list with latest API data","React state setter","N/A","Dashboard list state updated","N/A","dashboards now reflect backend list","Dashboard cards can render from fresh list","Selection reconciliation callback"
"8","Selection Reconciliation","Still inside loadDashboards success","app/DashboardManager.tsx","setSelectedDashboard(prev => ...)","prev selected + new data array","selectedDashboard may be null/stale/deleted","If no prev select first; if prev exists in new data keep prev; if missing select first; if no data set null","React functional state update","N/A","Stable/valid selected dashboard resolved","N/A","selectedDashboard becomes first/kept/null based on logic","Selected card highlight + selected panel target determined","selectedDashboard?.id effect"
"9","Dashboard Load Error Branch","If dashboard API fails","app/DashboardManager.tsx","loadDashboards catch","caught error e","error may be null","Log and assign user-facing error","Console + React","Same as seq 6 request URL","N/A","setError(e.message || 'Failed to fetch dashboards')","error populated; dashboards remain previous/empty","Red error banner appears in dashboard tab area","finally block"
"10","Dashboard Load Finalize","Always after try/catch","app/DashboardManager.tsx","loadDashboards finally","none","loading=true","setLoading(false)","React state setter","N/A","Content branch becomes renderable","N/A","loading=false","Spinner hidden; dashboard content can render","Dashboard tab render branch"
"11","Dashboard Tab Gate","Render after loading false","app/DashboardManager.tsx","activeTab === 'dashboards' condition","activeTab","activeTab defaults to dashboards unless changed","Render dashboards tab subtree only if key matches","React conditional JSX","N/A","Dashboard list and selected section rendered","N/A","No state mutation (pure render gate)","Dashboard list view appears","dashboards.map() for cards"
"12","Cards Loop Render","Dashboard tab subtree render","app/DashboardManager.tsx","dashboards.map(d => <DashboardCard ...>)","dashboards array","dashboards length known","Generate one DashboardCard per dashboard","React list rendering","N/A","Card elements mounted with handlers","N/A","No direct mutation","Dashboard cards grid visible","Card interactions: select/edit/delete/drop"
"13","Card Presentation","Per DashboardCard render","app/DashboardManager.tsx","DashboardCard component","dashboard prop fields","dashboard object exists","Show name, description, type badge, created date, default badge; attach handlers","React + JS Date","N/A","Card content renders with derived formatting","N/A","No mutation; derives isSelected and footer labels","Visual card detail in list","User click on card body or icons"
"14","Card Select Action","User clicks card body","app/DashboardManager.tsx","onSelect callback in map","dashboard object d","selectedDashboard may be another dashboard","setSelectedDashboard(d); loadWidgets(d.id)","React + async function call","N/A","Selection updates and widget load begins","If loadWidgets errors, error banner set there","selectedDashboard points to clicked card; widgets pending refresh","Clicked card gets selected styling; selected panel updates","selectedDashboard effect may trigger loadWidgets again"
"15","Selection Effect","selectedDashboard?.id changed","app/DashboardManager.tsx","useEffect([selectedDashboard?.id])","selectedDashboard id","selectedDashboard old/new IDs","If selectedDashboard exists call loadWidgets(id), else setWidgets([])","React effect","N/A","Selected dashboard widgets auto-refresh","N/A","widgets refreshed or cleared","Selected panel shows widgets or empty state","loadWidgets(dashboardId)"
"16","Widgets Load Begin","loadWidgets called from selection/click","app/DashboardManager.tsx","loadWidgets(dashboardId?) entry","optional dashboardId","widgets may show old dashboard data","setError(null); decide endpoint by dashboardId presence","React + apiFetch","If id: ...?resource=widgets&dashboard_id={id}; else widgets all","Proceed to fetch and map layout","setError('Failed to fetch widgets') in catch","error cleared first; widgets pending update","Widget area prepares refresh in selected panel","apiFetch widgets endpoint"
"17","Widgets API Request","Inside loadWidgets","app/DashboardManager.tsx","apiFetch<Widget[]>(`/widgets?dashboard_id=${id}`)","dashboardId number from selected dashboard","data local=[]","Fetch widget rows for selected dashboard","Custom apiFetch + Fetch API","https://intelligentsalesman.com/ism1/API/dashboard_manager/api/index.php?resource=widgets&dashboard_id={selectedDashboard.id}","Returns Widget[]","Throws Error -> catch path","data assigned from response","No immediate UI until setWidgets","setWidgets(data)"
"18","Widgets Assign + Layout Build","After widgets fetch success","app/DashboardManager.tsx","setWidgets(data) + newLayout map + setLayout(newLayout)","Widget[] data","widgets/layout may be stale","Assign widgets; compute layout i/x/y/w/h from widget properties","React + JS array map","N/A","Widget list and layout sync complete","N/A","widgets updated; layout updated","Selected panel grid shows current widget arrangement","Widget data effect [widgets,dataSources]"
"19","Widget Data Effect","widgets/dataSources change","app/DashboardManager.tsx","useEffect([widgets,dataSources])","widgets,dataSources","widgetApiData/loading/errors may be stale","For each widget with data_source_id and id, call fetchWidgetData(widget)","React effect","Depends on data source type endpoint","Widget tile starts loading and later displays data","Per-widget errors recorded in widgetErrors","widgetLoadingState/widgetApiData/widgetErrors updated by widget id","Selected dashboard widget content becomes populated","WidgetComponent re-render"
"20","Selected Dashboard Panel Render","Dashboard tab lower section","app/DashboardManager.tsx","selectedDashboard conditional block","selectedDashboard,widgets,layout","selectedDashboard may be null","If selected exists show header actions + grid/empty state else show no selection message","React conditional JSX + GridLayout","N/A","Detail panel rendered for current selection","N/A","No direct mutation","Shows selected dashboard details and widget area","Edit/Delete/Add Widget actions"
"21","Create Dashboard Action","User clicks header Create Dashboard","app/DashboardManager.tsx","openCreateDashboard()","none","showDashboardModal=false; dashboardForm may hold previous data","Assign default dashboardForm and open modal","React state setters","N/A","Modal opens with defaults","N/A","dashboardForm initialized; showDashboardModal=true","Create modal appears from dashboard tab","User edits fields and clicks Save"
"22","Modal Input Updates","User types/selects in DashboardModal","app/DashboardManager.tsx","DashboardModal onChange handlers","name,description,type,page_name,tab_name values","dashboardForm current partial object","setDashboardForm(prev => ({...prev,field:value})) per field","React state updater","N/A","Form state accumulates user input","N/A","dashboardForm updated incrementally","No card change until save","saveDashboard()"
"23","Save Dashboard Begin","User clicks Save in modal","app/DashboardManager.tsx","saveDashboard() entry","dashboardForm","error may be non-null","setError(null); validate dashboardForm.name","React + validation","N/A","Proceed to edit/create API path when valid","If name missing -> setError('Dashboard name is required') and return","error reset or validation error set","Validation error shown in banner if missing name","Edit path or create path"
"24","Save Edit Path","dashboardForm.id exists","app/DashboardManager.tsx","apiFetch<Dashboard>(`/dashboards/${id}`, PUT)","body JSON.stringify(dashboardForm), headers X-User-Id","dashboards contains previous version","Update backend record then map-replace in local dashboards; sync selectedDashboard if same id; close modal","apiFetch + Fetch API","https://intelligentsalesman.com/ism1/API/dashboard_manager/api/index.php?resource=dashboards/{id}","Updated dashboard returned and merged into state","Catch sets error('Failed to save dashboard')","dashboards entry updated; maybe selectedDashboard updated; showDashboardModal=false","Edited dashboard card/details refresh","Render with updated dashboard data"
"25","Save Create Path","dashboardForm.id missing","app/DashboardManager.tsx","apiFetch<Dashboard>('/dashboards', POST)","body JSON.stringify(dashboardForm), headers X-User-Id","dashboards list before insertion; selectedDashboard maybe another dashboard/null","Create backend dashboard then append locally, select created dashboard, set form to created object, close modal","apiFetch + Fetch API","https://intelligentsalesman.com/ism1/API/dashboard_manager/api/index.php?resource=dashboards","Created dashboard returned with id","Catch sets error('Failed to save dashboard')","dashboards appended; selectedDashboard=created; dashboardForm=created; showDashboardModal=false","New card appears and becomes selected","selectedDashboard effect -> loadWidgets(created.id)"
"26","Delete Dashboard Begin","User clicks card/selected-panel Delete","app/DashboardManager.tsx","deleteDashboard(id)","dashboard id","Dashboard exists in list","Guard id, confirm dialog, clear error","Browser confirm + React","N/A","Proceed to DELETE on confirmation","If cancel confirm: early return","No change if canceled; else continue","No UI change on cancel","apiFetch DELETE"
"27","Delete Dashboard API + State","Confirmed deletion","app/DashboardManager.tsx","apiFetch<void>(`/dashboards/${id}`, DELETE) + local updates","id, headers X-User-Id","dashboards include target id; selected may equal target","Delete backend record, filter dashboard out, clear selected/widgets if deleting selected","apiFetch + Fetch API","https://intelligentsalesman.com/ism1/API/dashboard_manager/api/index.php?resource=dashboards/{id}","Dashboard removed from backend and local state","Catch sets error('Failed to delete dashboard')","dashboards without deleted id; selectedDashboard maybe null; widgets maybe []","Card removed; selected panel cleared if deleted was selected","Render updated list"
"28","Refresh Manager Action","User clicks refresh icon","app/DashboardManager.tsx","refreshDashboardManager()","none","isRefreshing=false; various states may be stale","setIsRefreshing(true); Promise.all(loadDashboards,loadDataSources,loadFilters,loadDashboardFilterMappings); if selectedDashboard loadWidgets(selectedDashboard.id); finally setIsRefreshing(false)","Promise.all + React state","Includes dashboards URL and widgets URL where applicable","Bulk refresh succeeds; latest dashboard list/selection/widgets shown","Catch sets error('Failed to refresh dashboard manager')","isRefreshing toggled true then false; refreshed datasets","Refresh icon spins; dashboard list/state re-synced","Re-render with refreshed values"
"29","Drag Mode Toggle","User clicks Enable Drag Mode","app/DashboardManager.tsx","setIsDragMode(!isDragMode)","toggle state","isDragMode true/false current","Flip drag mode; affects widget draggability and card drop behavior","React state setter","N/A","Mode toggled successfully","N/A","isDragMode inverted","Yellow drag banner and drag behavior changes in dashboard tab","Widget drag start/drop handlers"
"30","Widget Drag Start","User drags a widget tile (drag mode on)","app/DashboardManager.tsx","handleWidgetDragStart(widget)(e)","widget, DragEvent","draggedWidget may be null/previous","setDraggedWidget(widget); configure dataTransfer copy metadata","React + DOM Drag API","N/A","Drag payload prepared","N/A","draggedWidget set to source widget","No immediate list update","Drop over target DashboardCard"
"31","Dashboard Card Drop Link","Dropped widget onto target dashboard card","app/DashboardManager.tsx","handleDashboardDrop(targetDashboard)(e)","targetDashboard, draggedWidget","draggedWidget exists; target may equal source dashboard","Validate not same dashboard; clone payload without id/timestamps; set dashboard_id target; POST /widgets; optional reload if viewing target; clear draggedWidget finally","apiFetch + Fetch API + DOM Drag API","https://intelligentsalesman.com/ism1/API/dashboard_manager/api/index.php?resource=widgets","New widget linked to target dashboard and success alert shown","On error alert + console; draggedWidget cleared in finally","draggedWidget cleared; backend has additional widget row; widgets may reload if target selected","Cross-dashboard link behavior completed from dashboard tab","If selected target, loadWidgets(target.id)"
"32","Empty/Error Render Cases","During dashboard tab render","app/DashboardManager.tsx","Fallback UI blocks","dashboards.length, selectedDashboard, widgets.length, error, loading","State may represent no data or failure","Show no dashboards/no selection/no widgets/error/spinner based on conditions","React conditional JSX","N/A","Appropriate fallback appears when condition true","N/A","No mutation; display derives from current state","User sees explicit status messages for each case","User action or next loader call"
"33","Stable End State","After any operation settles","app/DashboardManager.tsx","Current state snapshot","all dashboard-tab relevant states","Transient operations completed","Render from latest consistent state values","React render cycle","N/A","Dashboard list + selected panel represent current backend/client state","Any unresolved error remains in banner","State reflects latest CRUD/selection/load outcomes","Final dashboard tab view for current cycle","Next user interaction"
