"SheetSection","Seq","Phase","Trigger/Event","Source File","Primary Function/Block","Function Type","Inputs/Parameters","Library/API Used","Library Function Call","Assigned/Updated Variables","Return Value","Next Function/Effect Triggered","UI Impact (Dashboard Tab Only)","Notes/Conditions"
"Entry","1","Navigation","User clicks top nav DashboardManager","app/page.tsx","DashboardManager nav button onClick","Event handler","setSelectedMenu('DashboardManager'), setAboutSubMenuOpen(false)","React","useState setter","selectedMenu='DashboardManager', aboutSubMenuOpen=false","void","Conditional render branch evaluates selectedMenu","DashboardManager screen becomes active","Start point before DashboardManager mount"
"Entry","2","Component selection","selectedMenu state changes to DashboardManager","app/page.tsx","Ternary render branch for selectedMenu","Render condition","selectedMenu","React","JSX conditional rendering","renders <DashboardManager />","React element","DashboardManager component mounts","Dashboard Manager page visible","Only this branch relevant for requested flow"
"Imports","3","Module load","DashboardManager module evaluation","app/DashboardManager.tsx","Top-level imports","Module import","import React,{useEffect,useState,useRef}","react","useState/useEffect/useRef","Hooks become available in component scope","Imported symbols","Hooks used in all following steps","No direct UI change","Core library for state/effects"
"Imports","4","Module load","DashboardManager module evaluation","app/DashboardManager.tsx","Top-level imports","Module import","import GridLayout from react-grid-layout","react-grid-layout","GridLayout component","GridLayout symbol available","Imported symbol","Used in Selected Dashboard panel","Widget grid render in Dashboard tab","Used when widgets exist"
"Imports","5","Module load","DashboardManager module evaluation","app/DashboardManager.tsx","Top-level imports","Module import","import CSS files","react-grid-layout/react-resizable","CSS side-effect imports","layout/resizable CSS loaded","void","Styling applied at render","Dashboard cards/grid styled","Presentation only"
"Imports","6","Module load","DashboardManager module evaluation","app/DashboardManager.tsx","Top-level imports","Module import","import ContextMenuTab, AssignFiltersTab, dynamic, ReactDOM","next/dynamic, react-dom","dynamic(...)","symbols available","Imported symbols","Indirect; dashboard tab mostly unaffected","No immediate dashboard list change","Included for completeness"
"Types","7","Static typing","Module parse stage","app/DashboardManager.tsx","Dashboard interface","Type declaration","id,name,description,type,page_name,tab_name,is_default,is_active,created_at,etc.","TypeScript","Interface typing","Data shape constraints for dashboard objects","Type only","Used by state, forms, API parsing","Determines card and modal fields","No runtime return"
"API Utility","8","URL build","Any apiFetch call","app/DashboardManager.tsx","buildApiUrl(path)","Utility function","path string like '/dashboards'","JS string/encodeURIComponent","replace/split/encodeURIComponent","cleaned,resourcePart,queryPart,url","string URL","Returned URL passed into fetch","No direct UI change","For '/dashboards' -> API_BASE?resource=dashboards"
"API Utility","9","HTTP wrapper","loadDashboards/loadWidgets/save/delete calls","app/DashboardManager.tsx","apiFetch<T>(path,options)","Async utility","path, RequestInit options","Browser Fetch API","fetch(url,fetchOpts), Response.text(), JSON.parse()","url,method,baseHeaders,fetchOpts,text,data","Promise<T> or throws Error","Caller catch/finally branches execute","Errors surface in dashboard error banner","Adds Content-Type automatically when body exists"
"State Init","10","Initial render","DashboardManager mount start","app/DashboardManager.tsx","DashboardManager component body","Component execution","none","React","useState(...)","dashboards=[], selectedDashboard=null, widgets=[], layout=[], loading=true, activeTab='dashboards', showDashboardModal=false, dashboardForm={}","State tuple values","Effects are registered post-render","Spinner shown until loading=false","Initial values drive first Dashboard tab behavior"
"State Init","11","Initial render","DashboardManager mount start","app/DashboardManager.tsx","Additional state init","Component execution","none","React","useState(...)","error=null, draggedWidget=null, isDragMode=false, dataSources=[], widgetApiData={}, widgetLoadingState={}, widgetErrors={}","State tuple values","Later used by selected dashboard widget area","No immediate dashboard card data","Included because they affect dashboard tab lower pane"
"Layout Width","12","Mount effect","After first render","app/DashboardManager.tsx","React.useEffect updateWidth block","Effect","containerRef","React + DOM","getBoundingClientRect(), addEventListener('resize')","gridWidth set from container rect","void (cleanup removes listener)","Re-runs on window resize","Can affect grid sizing behavior in selected dashboard area","Dashboard list cards not directly dependent"
"Data Bootstrap","13","Mount effect","After first render ([] deps)","app/DashboardManager.tsx","Bootstrap async IIFE","Effect orchestration","await loadDashboards(); await loadDataSources(); await loadFilters(); await loadDashboardFilterMappings(); await fetchContextMenus(); await fetchWidgetContextMenuAssignments();","React effect scheduling","useEffect(...,[])","No direct assignment here; calls assign states in each loader","Promise<void>","loadDashboards runs first in sequence","Critical start-to-end data flow kickoff","Dashboard tab depends primarily on first loader"
"Dashboards Load","14","Network start","Called from bootstrap effect","app/DashboardManager.tsx","loadDashboards() entry","Async domain function","none","React state + apiFetch","setLoading(true), setError(null)","loading=true, error=null","Promise<void>","apiFetch<Dashboard[]>('/dashboards')","Spinner remains visible","Start of dashboard list fetch"
"Dashboards Load","15","Network call","Inside loadDashboards","app/DashboardManager.tsx","apiFetch<Dashboard[]>('/dashboards')","Async call","path='/dashboards'","Custom apiFetch + Fetch API","buildApiUrl('/dashboards'), fetch(url,opts)","data receives parsed JSON array or [] fallback later","Promise<Dashboard[]>","Then setDashboards(data||[])","List source data retrieved","URL resolves to API_BASE?resource=dashboards"
"Dashboards Load","16","State assignment","After successful dashboard fetch","app/DashboardManager.tsx","loadDashboards success block","State update","data from API","React","setDashboards(data || [])","dashboards updated to fetched list","void","Selection reconciliation block executes","Dashboard cards map source prepared","If null/undefined, empty array assigned"
"Selection Logic","17","Selection reconciliation","After dashboards assignment","app/DashboardManager.tsx","setSelectedDashboard(prev => ...)","Functional state update","prev selected dashboard + new data","React","state updater callback","If !prev -> first dashboard; if prev exists in data -> keep prev; else -> first dashboard; if no data -> null","Dashboard|null","selectedDashboard?.id effect may fire","Selected card highlight and lower panel target chosen","Prevents unnecessary widget reload if existing selection still valid"
"Dashboards Load","18","Error path","If fetch/parse/API fails","app/DashboardManager.tsx","loadDashboards catch","Error handling","caught error e","Console + React","console.error, setError(...)","error set to e.message or fallback","void","render error banner path","Red error alert shown above tabs content","Dashboard cards not shown if loading fails"
"Dashboards Load","19","Finalize","Always after try/catch","app/DashboardManager.tsx","loadDashboards finally","Finalize state","none","React","setLoading(false)","loading=false","void","Main render switches from spinner to content","Dashboard tab content region displayed","Key transition from spinner to list view"
"Widgets Auto-load","20","Dependent effect","selectedDashboard?.id changes","app/DashboardManager.tsx","useEffect([selectedDashboard?.id])","Effect","selectedDashboard id","React","if selectedDashboard loadWidgets(id) else setWidgets([])","widgets either fetched for selected dashboard or cleared","void","loadWidgets invoked when selected exists","Selected Dashboard panel shows corresponding widgets","Automatic after initial selection"
"Tab Gate","21","Render gate","Every render post-loading","app/DashboardManager.tsx","activeTab conditional","Render condition","activeTab state","React JSX","{activeTab==='dashboards' && ...}","No mutation; condition check only","Boolean branch","Dashboard tab subtree mounts when true","Dashboard cards + selected dashboard panel visible","activeTab default is dashboards so this path is initial"
"Header Action","22","User action","Click Create Dashboard button in header","app/DashboardManager.tsx","openCreateDashboard()","Event handler","none","React","setDashboardForm(...defaults), setShowDashboardModal(true)","dashboardForm={type:'STANDARD',page_name:'',tab_name:'',is_default:false,is_active:true,name:'',description:''}; showDashboardModal=true","void","DashboardModal rendered","Create Dashboard modal opens","Default values are explicit assignments"
"Tab Control","23","User action","Click Dashboards tab button","app/DashboardManager.tsx","setActiveTab('dashboards')","Event handler","target tab key","React","useState setter","activeTab='dashboards'","void","Dashboard branch remains/returns active","Ensures dashboard list view visible","No network call on this specific button"
"List Render","24","Render list","Dashboard tab branch active","app/DashboardManager.tsx","dashboards.map(d => <DashboardCard ...>)","Render loop","dashboards array","React","Array.map","for each d: passes props key, dashboard, onSelect,isSelected,onDragOver,onDrop,onEdit,onDelete","React elements list","Card-level event handlers become active","Grid of dashboard cards rendered","If dashboards.length===0 shows 'No dashboards created'"
"Card View","25","Per-card rendering","DashboardCard component render","app/DashboardManager.tsx","DashboardCard props usage","Presentational render","dashboard,onSelect,isSelected,onEdit,onDelete,onDragOver,onDrop","React + JS Date","new Date(dashboard.created_at).toLocaleDateString()","reads dashboard.name,description,type,created_at,is_default; className includes selected ring when isSelected","JSX element","User can click card/edit/delete/drop","Card shows name/description/type/date/default","Edit/Delete buttons stop propagation to avoid selecting card"
"Card Select","26","User action","Click dashboard card body","app/DashboardManager.tsx","onSelect prop callback","Event handler","d from map closure","React","setSelectedDashboard(d); loadWidgets(d.id);","selectedDashboard=d; widgets/layout refreshed via loadWidgets","void","selectedDashboard effect may also run loadWidgets","Selected card highlighted; lower panel switches dashboard","Potential duplicate loadWidgets call (direct + effect)"
"Widgets Load","27","Network start","Called from card onSelect or selection effect","app/DashboardManager.tsx","loadWidgets(dashboardId?) entry","Async domain function","dashboardId optional","React + apiFetch","setError(null); choose endpoint by dashboardId","error reset; local data variable initialized []","Promise<void>","apiFetch to widgets endpoint","Prepares Selected Dashboard widget area refresh","Dashboard list cards unaffected"
"Widgets Load","28","Network call","Inside loadWidgets with dashboardId","app/DashboardManager.tsx","apiFetch<Widget[]>(`/widgets?dashboard_id=${id}`)","Async call","dashboardId number","Custom apiFetch + Fetch API","buildApiUrl with query passthrough","data=resp||[]","Promise<Widget[]>","setWidgets(data)","Selected dashboard widgets fetched","When no dashboardId, fetches all widgets (not primary dashboard-tab select flow)"
"Widgets Load","29","Layout mapping","After widgets fetch success","app/DashboardManager.tsx","const newLayout = data.map(...)","Transformation","Widget[] data","JS Array","map(...)","layout items {i,x,y,w,h,minW,minH,maxW} from widget fields","Array<any>","setLayout(newLayout)","GridLayout receives updated layout","Links widget DB coordinates to UI grid positions"
"Selected Panel","30","Render selected section","Dashboard tab render pass","app/DashboardManager.tsx","Selected Dashboard panel block","Render condition","selectedDashboard,widgets,layout","React","Conditional rendering","If selectedDashboard exists render detail card and widget area else 'No dashboard selected'","JSX subtree","Widget grid / empty state branch","Lower half of dashboard tab updates","Directly connected to selectedDashboard and widgets"
"Selected Actions","31","User action","Click Edit in Selected Dashboard panel","app/DashboardManager.tsx","openEditDashboard(selectedDashboard)","Event handler","Dashboard object","React","setDashboardForm({...d}), setShowDashboardModal(true)","dashboardForm populated with existing dashboard; modal opened","void","DashboardModal appears with prefilled values","Edit flow starts for current selection","Same function used by card edit icon"
"Selected Actions","32","User action","Click Delete in Selected Dashboard panel","app/DashboardManager.tsx","deleteDashboard(selectedDashboard.id)","Event handler -> async","dashboard id","Browser + apiFetch","window.confirm(...), apiFetch DELETE","dashboards filtered; if selected deleted then selectedDashboard=null and widgets=[]","Promise<void>","Render re-evaluates list and selected panel","Dashboard removed from list; selected panel cleared or switches later","Confirmation required"
"Selected Actions","33","User action","Click Add Widget in Selected Dashboard panel","app/DashboardManager.tsx","openCreateWidgetForSelectedDashboard()","Event handler","selectedDashboard state","React + Browser","if !selectedDashboard alert(...); else setWidgetForm(defaults with dashboard_id), setShowWidgetModal(true)","widgetForm initialized with selected dashboard id and widget defaults","void","WidgetModal appears","Indirectly impacts dashboard tab lower widget area after save","Included because button is inside dashboard tab"
"Grid Render","34","Render widgets","widgets.length > 0 in selected panel","app/DashboardManager.tsx","<GridLayout ...>","Third-party component render","layout,cols,rowHeight,width,onLayoutChange,isDraggable,isResizable,etc.","react-grid-layout","GridLayout component invocation","No direct state write here; props consumed","Rendered grid DOM","User drag/resize invokes onLayoutChange","Widget cards appear in dashboard selected area","isDraggable/isResizable disabled when dashboard drag-mode active"
"Widget Cell","35","Per-widget render","Inside GridLayout children map","app/DashboardManager.tsx","widgets.map(w => <WidgetComponent ...>)","Render loop","w,dataSources,widgetApiData,widgetLoadingState,widgetErrors,isDragMode","React","Array.map + find lookups","ds from dataSources.find(...), apiData, isLoading, error derived by widget id","React elements","WidgetComponent renders each tile","Visual content inside selected dashboard","Dashboard list/cards still top section"
"Layout Persist","36","User action","Drag/resize widget in selected panel grid","app/DashboardManager.tsx","onLayoutChange(newLayout)","Async handler","newLayout array from GridLayout","react-grid-layout + apiFetch","setLayout; setWidgets(prev=>mapped); apiFetch PUT /widgets/{id} per widget","layout and widget positional fields updated","Promise<void> (implicit)","Persisted coordinates on backend","Widget tile positions/sizes update and persist","Called only within selected panel in dashboards tab"
"Widget Data Effect","37","Dependent effect","widgets or dataSources change","app/DashboardManager.tsx","useEffect([widgets,dataSources]) fetch loop","Effect","widgets,dataSources","React","widgets.forEach(fetchWidgetData)","Triggers per widget async loading state/data/error updates","void","fetchWidgetData(widget) for each eligible widget","Widget content shows loading/data/error in selected panel","Indirect but visible in dashboard tab"
"Widget Data Fetch","38","Per-widget data call","fetchWidgetData(widget) invoked","app/DashboardManager.tsx","fetchWidgetData(widget)","Async domain function","widget object","React + Fetch + apiFetch","dataSources.find, fetch/apiFetch switch by source_type, normalizeApiResponse","widgetLoadingState[id]=true then false; widgetErrors[id]; widgetApiData[id]={raw,normalized}","Promise<void>","WidgetComponent re-renders with apiData/isLoading/error","Tile content updates inside selected dashboard","Requires widget.id + data_source_id + dashboard_id"
"Drag Mode Toggle","39","User action","Click Enable Drag Mode in header","app/DashboardManager.tsx","setIsDragMode(!isDragMode)","Event handler","previous isDragMode","React","useState setter","isDragMode toggled","void","GridLayout draggability flips; widget drag source enabled","Yellow drag-mode banner appears; behavior changes","Specific to linking widget between dashboards"
"Drag Banner","40","Render conditional","isDragMode true","app/DashboardManager.tsx","Drag mode info message block","Render condition","isDragMode","React JSX","conditional rendering","no assignment","JSX element","User guided for drag-drop flow","Instruction shown above dashboard content","Dashboard-tab only visual helper"
"Drag Start","41","User action","Drag widget tile (when drag mode on)","app/DashboardManager.tsx","handleWidgetDragStart(widget)","Event handler factory","widget, drag event","DOM Drag API + React","setDraggedWidget(widget), dataTransfer.effectAllowed='copy', setData('text/plain',id)","draggedWidget set to source widget","void","Drop handlers on dashboard cards can consume state","No immediate list change until drop","Enabled via WidgetComponent onDragStart prop"
"Drag Over Card","42","User action","Drag over dashboard card","app/DashboardManager.tsx","handleDashboardDragOver(e)","Event handler","DragEvent","DOM Drag API","preventDefault(), dataTransfer.dropEffect='copy'","none","void","Allows drop event to fire","No immediate state/UI change","Needed for HTML5 DnD acceptance"
"Drop On Card","43","User action","Drop dragged widget on target dashboard card","app/DashboardManager.tsx","handleDashboardDrop(targetDashboard)(e)","Async handler factory","targetDashboard, DragEvent","React + Browser + apiFetch","preventDefault, validate draggedWidget, apiFetch POST /widgets","creates payload from dragged widget excluding id/dashboard_id/timestamps; sets dashboard_id=targetDashboard.id; resets position defaults","Promise<void>","Optional loadWidgets(targetDashboard.id) if selectedDashboard matches target","Links (clones) widget to target dashboard","Alerts success/failure; finally setDraggedWidget(null)"
"Modal Render","44","Render conditional","showDashboardModal true","app/DashboardManager.tsx","<DashboardModal .../>","Render condition","dashboardForm, setters, widgets, save/load handlers","React","Conditional JSX mount","none (props pass-through)","React element","Modal interactions active","Create/Edit dashboard form displayed","Central CRUD UI for dashboard list"
"Modal Inputs","45","User action","Edit fields in dashboard modal","app/DashboardManager.tsx","DashboardModal input onChange handlers","Event handlers","event target values","React","setDashboardForm(prev => ({...prev, field:value}))","dashboardForm.name/description/type/page_name/tab_name updated incrementally","void","saveDashboard consumes dashboardForm","No list update until Save","Connected variable chain: input -> dashboardForm -> save payload"
"Save Dashboard","46","User action","Click Save in dashboard modal","app/DashboardManager.tsx","saveDashboard()","Async CRUD function","dashboardForm","React + apiFetch","validation + apiFetch PUT/POST + state updates","On edit: dashboards item replaced, maybe selectedDashboard replaced; On create: dashboards appended, selectedDashboard=created, dashboardForm=created; showDashboardModal=false","Promise<void>","Selection effect may load widgets for new selected dashboard","List updates with created/edited dashboard data","Sets error when name missing or API fails"
"Save Dashboard","47","Edit branch","dashboardForm.id exists","app/DashboardManager.tsx","saveDashboard edit path","Async branch","path `/dashboards/${dashboardForm.id}`, body JSON.stringify(dashboardForm), headers {'X-User-Id':'1'}","apiFetch","apiFetch<Dashboard>(...,{method:'PUT',...})","updated dashboard merged into dashboards by id","Dashboard object from API","Render refreshes list + selected details if same id","Edited dashboard card updates","No forced reloadDashboards call in this branch"
"Save Dashboard","48","Create branch","dashboardForm.id missing","app/DashboardManager.tsx","saveDashboard create path","Async branch","path '/dashboards', method POST, body dashboardForm, headers {'X-User-Id':'1'}","apiFetch","apiFetch<Dashboard>('/dashboards',{method:'POST',...})","created dashboard appended; selectedDashboard set to created; dashboardForm set to created","Dashboard object from API","selectedDashboard effect triggers loadWidgets(created.id)","New dashboard appears and becomes selected","Important linkage: created object now includes id"
"Delete Dashboard","49","User action","Click delete icon on dashboard card","app/DashboardManager.tsx","deleteDashboard(d.id) via onDelete prop","Async CRUD function","id number","Browser + apiFetch","window.confirm, apiFetch DELETE, setDashboards(filter)","dashboards removes id; selectedDashboard/widgets cleared if deleting current selected","Promise<void>","Render updates list and selected panel","Card disappears; selection cleared if needed","Same function reused in selected panel delete button"
"Empty List State","50","Render condition","dashboards.length===0 in dashboard tab","app/DashboardManager.tsx","No dashboards created message","Render fallback","dashboards array length","React JSX","conditional rendering","none","JSX text block","No further actions unless create invoked","Shows 'No dashboards created'","Displayed in card grid section"
"Error Banner","51","Render condition","error state truthy","app/DashboardManager.tsx","error banner block","Render fallback","error string","React JSX","conditional rendering","none","JSX alert block","Persists until cleared by loaders/actions","Red error box visible in dashboard tab area","Many actions call setError(null) before operations"
"Loading Spinner","52","Render condition","loading true","app/DashboardManager.tsx","spinner branch","Render fallback","loading boolean","React JSX","conditional rendering","none","Spinner JSX","Hidden when setLoading(false) in loadDashboards finally","Center spinner shown","Controls initial dashboard tab wait state"
"Selection Highlight","53","Render derivation","Each DashboardCard render","app/DashboardManager.tsx","isSelected computation","Derived value","selectedDashboard?.id === d.id","JS expression","strict equality","isSelected boolean passed to card","boolean","Class toggles ring styles","Selected dashboard card highlighted","Pure derived linkage from selectedDashboard and d.id"
"Date Formatting","54","Presentation helper","DashboardCard footer render","app/DashboardManager.tsx","Created date formatting","Render-time expression","dashboard.created_at","JavaScript Date","new Date(...).toLocaleDateString()","formatted date string","string","Displayed in card footer","Shows Created: <date>","If created_at missing, empty string rendered"
"Default Badge","55","Presentation helper","DashboardCard footer render","app/DashboardManager.tsx","is_default conditional badge","Render-time expression","dashboard.is_default","React JSX","conditional rendering","none","JSX badge or nothing","Badge appears when true","Default label on card","Minor variable but directly connected to dashboard object"
"Modal Widget Sublist","56","Auxiliary in dashboard modal","DashboardModal render","app/DashboardManager.tsx","relatedWidgets computation","Derived array","widgets.filter(w => w.dashboard_id===dashboardForm.id)","JS Array","filter","relatedWidgets assigned","Widget[]","Rendered list in modal widget subsection","Shows widgets linked to dashboard being edited","Supports dashboard-context awareness"
"Refresh Button","57","User action","Click refresh icon in header","app/DashboardManager.tsx","refreshDashboardManager()","Async orchestration","none","Promise + React","setIsRefreshing(true); Promise.all([...loaders]); conditional loadWidgets(selectedDashboard.id)","isRefreshing toggled; multiple states refreshed including dashboards","Promise<void>","Re-renders dashboards and selected panel data","Refresh spinner icon animates while loading","Includes dashboard list refresh in same flow"
"Refresh Button","58","Dashboards refresh branch","Inside refreshDashboardManager Promise.all","app/DashboardManager.tsx","loadDashboards() within Promise.all","Async call reuse","none","Custom loader","same as seq 14-19","dashboards/selected/loading/error may update","Promise<void>","May trigger selectedDashboard effect","Dashboard list re-synced with backend","Parallel with other loaders in refresh function"
"Tab Scope Clarification","59","Scope rule","Throughout this sheet","app/DashboardManager.tsx","Dashboard-tab-only filtration","Documentation rule","Exclude widgets/datasources/assignFilters tab UI branches unless they affect dashboard tab rendering","N/A","N/A","N/A","N/A","N/A","Only Dashboard list view + selected dashboard region tracked","Other tabs intentionally not expanded"
"End State","60","End-to-end completion","After user interactions settle","app/DashboardManager.tsx","Stable dashboard tab state","Result state","dashboards,selectedDashboard,widgets,layout,error,loading,showDashboardModal,isDragMode","React state model","Final render from current state snapshot","Consistent UI from latest state values","Rendered Dashboard tab view","User sees list cards, selected dashboard, widgets, and action controls","This row summarizes terminal state of flow cycle"
