ID,Hierarchy,Parent,Name,,Alias,Purpose,Input,High Level Logic,Output,Maps_To_SOL
1,1,-,FilterManager Page,,FM_Page,Open filter administration page,Top menu click on FilterManager,Routes selected menu state to FilterManager component,FilterManager UI loads,SOL-003
2,2,FilterManager Page,Top Navigation Hook,,FM_MenuLink,Connect menu selection to page rendering,selectedMenu value from app nav,Checks selectedMenu equals FilterManager then renders component,FilterManager mount point,SOL-003
3,2,FilterManager Page,FilterManager Main Container,,FM_Main,Orchestrate filter list and modal workflows,None internal state + API responses,Maintains state for filters loading error selection editing and modal,Interactive filter management screen,SOL-003
4,3,FilterManager Main Container,fetchFilters API Loader,,FM_FetchFilters,Load and normalize filters from backend,GET get_filters.php,Calls API maps response fields parses JSON fields sorts by position,Populated filters array,SOL-003
5,3,FilterManager Main Container,saveFilter API Handler,,FM_SaveFilter,Create or update filter payload in backend,Filter form data + edit mode,Builds payload stringifies JSON fields posts to api.php then refreshes list,Filter persisted and list refreshed,SOL-003
6,3,FilterManager Main Container,deleteFilter API Handler,,FM_DeleteFilter,Delete filter record from backend,Filter ID,Posts ID to delete_filter.php and refreshes list on success,Filter removed from list,SOL-003
7,3,FilterManager Main Container,duplicateFilter Handler,,FM_Duplicate,Clone existing filter quickly,Existing filter object,Copies filter strips ID/timestamps adjusts name and position then saves as new,New copied filter created,SOL-003
8,3,FilterManager Main Container,Header Action Bar,,FM_HeaderActions,Expose top-level quick actions,Refresh click + Create New Filter click,Triggers fetchFilters or opens modal in create mode,Data refresh or create modal open,SOL-003
9,3,FilterManager Main Container,Filter List Section,,FM_FilterList,Show all filters with operations,filters state array,Iterates filters renders each card with status badges and actions,Visible filter cards,SOL-003
10,4,Filter List Section,Filter List Item Card,,FM_FilterCard,Represent one filter summary and actions,Single filter row data,Renders checkbox metadata badges fields timestamps and action buttons,Editable/deletable filter item,SOL-003
11,5,Filter List Item Card,Multi Select Checkbox,,FM_SelectCheckbox,Allow bulk operation selection,Checkbox interactions,Adds/removes filter ID from selectedFilters array,Bulk selection state,SOL-003
12,5,Filter List Item Card,Edit Action,,FM_ActionEdit,Open filter in edit mode,Clicked filter card edit icon,Sets editingFilter and opens modal,Edit form with prefilled data,SOL-003
13,5,Filter List Item Card,Duplicate Action,,FM_ActionDuplicate,Clone selected filter,Clicked filter card duplicate icon,Calls duplicateFilter helper then save flow,New copied filter entry,SOL-003
14,5,Filter List Item Card,Delete Action,,FM_ActionDelete,Delete selected filter,Clicked filter card delete icon + confirmation,Calls deleteFilter handler and backend delete API,Filter removed,SOL-003
15,3,FilterManager Main Container,Summary Panel,,FM_Summary,Display quick metrics of filters,filters state,Computes total active and API-linked counts,At-a-glance statistics,SOL-003
16,3,FilterManager Main Container,Quick Actions Panel,,FM_QuickActions,Support bulk selection actions,Select all or clear clicks,Sets selectedFilters to all IDs or empty,Selection mass-updated,SOL-003
17,3,FilterManager Main Container,Create/Edit Modal Shell,,FM_FilterModal,Host create/edit editor popup,Modal open state + editingFilter + newFilter,Renders overlay/backdrop with close behavior and embeds BasicTab,Focused editor popup,SOL-003
18,4,Create/Edit Modal Shell,ThemeProvider Wrapper,,FM_ThemeProvider,Provide light/dark theme context in editor,Theme context and localStorage preference,Applies theme class and exposes toggleTheme via context,Consistent themed editor,SOL-003
19,4,Create/Edit Modal Shell,BasicTab Editor,,FM_BasicTab,Capture full filter configuration,Current filter data edit mode callbacks,Renders tabbed editor validates fields handles save/cancel callbacks,Structured filter payload data,SOL-003
20,5,BasicTab Editor,Tab Navigation,,FM_TabNav,Switch editor section,Tab clicks,Controls activeTab among basic styling events validation options queryBuilder,Section-specific form displayed,SOL-003
21,6,Tab Navigation,Basic Tab Content,,FM_TabBasic,Configure core filter identity and behavior,Name type field default required visible etc,Updates local form state with standard properties,Core configuration updated,SOL-003
22,6,Tab Navigation,Styling Tab Content,,FM_TabStyling,Configure visual styles for filter UI,cssClass inlineStyle cssCode inputs,Validates style fields and stores in state,Styling metadata saved,SOL-003
23,6,Tab Navigation,Events Tab Content,,FM_TabEvents,Configure event handlers,Handler names params response fields,Saves onClick/onBlur/onChange/onFocus/onKeyDown/onKeyUp metadata,Event mapping configuration saved,SOL-003
24,6,Tab Navigation,Validation Tab Content,,FM_TabValidation,Configure validation rules,min max pattern required settings,Applies validation constraints into form state,Validation config ready,SOL-003
25,6,Tab Navigation,Options Tab Content,,FM_TabOptions,Configure selectable options source,Static options or API option settings,Stores options list multiselect custom flags webapi type,Options behavior configured,SOL-003
26,6,Tab Navigation,QueryBuilder Tab Content,,FM_TabQueryBuilder,Build advanced query logic for dynamic filters,Table selections joins where conditions window functions,Generates queryBuilder structure and preview SQL logic,Queryable filter definition,SOL-003
27,7,QueryBuilder Tab Content,Join Configuration Accordion,,FM_QBJoin,Define join across two tables,Primary table/alias/column secondary table/alias/column join type,Constructs join condition and selectable output columns,Join-configured query block,SOL-003
28,7,QueryBuilder Tab Content,Where Conditions Accordion,,FM_QBWhere,Define row filtering rules,Field operator value condition groups,Builds structured where conditions with logical operators,Predicate conditions list,SOL-003
29,7,QueryBuilder Tab Content,Window Functions Accordion,,FM_QBWindow,Define analytical/window calculations,Window function settings partition/order/frame,Builds window function SQL fragments for query output,Window function config,SOL-003
30,8,Where Conditions Accordion,NestedQueryBuilder,,FM_NestedQB,Support recursive nested conditions,Nested query objects and table field lists,Recursively edits nested query blocks and filter clauses,Deep nested query structure,SOL-003
31,3,FilterManager Main Container,UI Helper IconButton,,FM_HelperIconButton,Reusable icon action button,Icon child and click handler,Renders consistent button styling variants and sizes,Standardized small action control,SOL-003
32,3,FilterManager Main Container,UI Helper Badge,,FM_HelperBadge,Reusable status/type badge,Badge text and color class,Renders compact metadata labels,Consistent badge visualization,SOL-003
33,1,-,DashboardManager Page,,DM_Page,Open dashboard administration page,Top menu click on DashboardManager,Routes selected menu state to DashboardManager component,DashboardManager UI loads,SOL-013
34,2,DashboardManager Page,Top Navigation Hook,,DM_MenuLink,Connect menu selection to page rendering,selectedMenu value from app nav,Checks selectedMenu equals DashboardManager then renders component,DashboardManager mount point,SOL-013
35,2,DashboardManager Page,DashboardManager Main Container,,DM_Main,Manage dashboards widgets data sources filters and context menus,None internal state + API responses,Maintains full manager state and tab-controlled views,Unified dashboard administration UI,SOL-013
36,3,DashboardManager Main Container,Header Actions Bar,,DM_HeaderActions,Expose create toggle tabs and refresh actions,Button clicks and selected tab state,Switches activeTab toggles drag mode triggers refresh and create flow,Current manager mode changes,SOL-013
37,3,DashboardManager Main Container,Dashboards Tab,,DM_TabDashboards,Manage dashboard cards and selected dashboard canvas,Dashboards list + selected dashboard,Shows cards and selected dashboard details with widget grid,Dashboard-centric management view,SOL-013
38,4,Dashboards Tab,DashboardCard,,DM_DashboardCard,Represent one dashboard card entry,Dashboard metadata + drag/drop handlers,Renders title/description/type and edit/delete with drop target behavior,Selectable dashboard card,SOL-013
39,4,Dashboards Tab,Selected Dashboard Panel,,DM_SelectedPanel,Show selected dashboard controls and widgets,Selected dashboard + widgets + layouts,Renders dashboard details action buttons and grid layout area,Current dashboard workspace,SOL-013
40,5,Selected Dashboard Panel,GridLayout Widget Canvas,,DM_GridLayout,Place widgets in responsive grid,Widget layout x y w h data,Uses react-grid-layout for drag resize and layout updates,Spatial widget arrangement,SOL-046
41,6,GridLayout Widget Canvas,WidgetComponent Renderer,,DM_WidgetRenderer,Render each widget by visual type,Widget config normalized data datasource/loading/error,Branches rendering logic by KPI CHART TABLE TEXT MAP and defaults,Final widget UI block,SOL-046
42,7,WidgetComponent Renderer,KPIView,,DM_KPIView,Display KPI value and trend,Normalized KPI payload,Renders value unit trend direction and description,Metric card output,SOL-046
43,7,WidgetComponent Renderer,Chart Renderer Block,,DM_ChartBlock,Render chart-like bars from normalized data,Chart dataset labels values max,Calculates bar heights and labels using normalized data,Chart visualization block,SOL-046
44,7,WidgetComponent Renderer,Table Renderer Block,,DM_TableBlock,Render tabular widget data,Columns and rows arrays,Builds simple table with header and row cells,Table view output,SOL-046
45,7,WidgetComponent Renderer,Text Renderer Block,,DM_TextBlock,Render textual widget payload,Text from normalized payload or config,Displays text content with fallback message,Text output block,SOL-046
46,7,WidgetComponent Renderer,Map Renderer Block,,DM_MapBlock,Render map widget locations,MAP widget raw/normalized location data,Dynamically loads leaflet components and plots valid lat/lng markers,Interactive map output,SOL-046
47,7,WidgetComponent Renderer,Recursive Context Menu,,DM_RecursiveMenu,Render nested context menu tree,Context menu definitions and hierarchy,Builds parent-child menu tree and recursive submenu UI,Nested right-click menu,SOL-013
48,3,DashboardManager Main Container,Widgets Tab,,DM_TabWidgets,List and maintain widgets across dashboards,Widgets list + dashboards lookup,Shows table of widgets with edit/delete and refresh/add actions,Widget registry management,SOL-013
49,3,DashboardManager Main Container,Data Sources Tab,,DM_TabDataSources,List and maintain data sources,Data source records + actions,Shows datasource table and opens CRUD modal actions,Datasource registry management,SOL-012
50,3,DashboardManager Main Container,Create Context Menu Tab,,DM_TabContextMenu,Maintain context menu definitions and assignments,Context menu form/list/assignment state,Renders ContextMenuTab component for CRUD and mapping,Context menu admin output,SOL-013
51,3,DashboardManager Main Container,Assign Filters Tab,,DM_TabAssignFilters,Assign filters to dashboards/widgets,Dashboards widgets filters selected scope,Renders AssignFiltersTab and saves mapping selections,Filter assignment mapping saved,SOL-013
52,3,DashboardManager Main Container,Dashboard Modal,,DM_DashboardModal,Create or edit dashboard metadata,Dashboard form fields,Validates and posts/puts dashboard payload then refreshes list,Dashboard record persisted,SOL-013
53,3,DashboardManager Main Container,Widget Modal,,DM_WidgetModal,Create or edit widget configuration,Widget form visual settings data source position,Builds widget payload previews datasource output and saves,Widget record persisted,SOL-013
54,3,DashboardManager Main Container,Data Source Modal,,DM_DataSourceModal,Create or edit datasource definitions,Datasource form endpoint method cache JSON blocks,Validates JSON fields and source-type requirements then saves,Datasource record persisted,SOL-012
55,3,DashboardManager Main Container,fetchWidgetData Pipeline,,DM_FetchWidgetData,Load live data for widget rendering,Widget datasource id and datasource config,Routes API/SQL/STATIC fetching then normalizes response and stores state,Widget data ready for renderer,SOL-012
56,3,DashboardManager Main Container,loadDashboards Pipeline,,DM_LoadDashboards,Load dashboard list and preserve selection,GET dashboards response,Fetches dashboards and keeps/repairs selected dashboard state,Dashboard list hydrated,SOL-013
57,3,DashboardManager Main Container,loadWidgets Pipeline,,DM_LoadWidgets,Load widgets for selected/all dashboards,Dashboard ID optional,Fetches widgets and maps to grid layout coordinates,Widgets and layout synchronized,SOL-013
58,3,DashboardManager Main Container,loadDataSources Pipeline,,DM_LoadDataSources,Load datasource list,GET datasources response,Fetches datasource records and stores in state,Datasource list hydrated,SOL-012
59,3,DashboardManager Main Container,Filter Assignment Pipeline,,DM_FilterMapping,Load/save dashboard-filter mappings,Filter list mapping API responses,Fetches filters and mappings and toggles assignment with save API calls,Updated filter mapping state,SOL-013
60,3,DashboardManager Main Container,Refresh Dashboard Manager,,DM_Refresh,Reload all manager datasets quickly,Refresh button click,Calls parallel loaders dashboards datasources filters mappings and current widgets,Fully refreshed manager data,SOL-013
61,1,-,Root Main Workspace Page,,ROOT_MainPage,Provide unified shell with menu-driven page switching,Sidebar and top navigation interactions,Maintains selectedMenu state and conditionally mounts all linked feature pages,Single-entry workspace navigation,SOL-001
62,2,Root Main Workspace Page,Menu Sidebar with Nested Sections,,ROOT_MenuSidebar,Offer hierarchical navigation for modules and submenus,Menu clicks and expand collapse actions,Tracks expanded menu groups and updates selected menu state,Accessible multi-level navigation control,SOL-001
63,2,Root Main Workspace Page,Top Header and Right Panel Controls,,ROOT_HeaderPanel,Provide global actions and contextual side panel,Settings click logo click and right-panel toggle,Shows header controls and opens or closes sliding right panel with persisted UI state,Global utility controls available across content,SOL-001
64,2,Root Main Workspace Page,Form Workflow Content Table,,ROOT_FormWorkflow,Document and filter form workflow records,Search text and sample form metadata rows,Filters local dataset by id name owner and renders status-tagged table,Searchable form workflow listing,SOL-001
65,2,Root Main Workspace Page,Dashboard Drag Resize Content,,ROOT_DashboardCanvas,Enable interactive dashboard card positioning and resize,Card drag events resize handles and selection state,Constrains cards within container updates dimensions and position in state,Customizable dashboard card layout,SOL-045
66,1,-,Documentation Bar Chart Page,,DOC_BarChartPage,Show drillable bar chart with contextual analytics actions,Right-click on bars stack mode selections and drill-across selections,Opens nested context menus toggles stacked views and renders drill-across table panel,Interactive bar analytics exploration,SOL-009
67,2,Documentation Bar Chart Page,Stack Bar Actions,,DOC_StackBar,Break down monthly bars by product or state,Context menu choices individual or all scope,Builds stacked chart series from productData or stateData and supports reset view,Detailed stacked comparisons,SOL-009
68,2,Documentation Bar Chart Page,Drill Across Table Panel,,DOC_DrillAcross,Display tabular detail for selected analytic dimension,Context menu drill across selections by product or by state,Aggregates month-wise rows and renders dynamic table columns,Expanded tabular analytics insight,SOL-009
69,1,-,Endpoints Grid Analytics Page,,ENDP_GridPage,Provide grid-based dashboard panels with drag support,Panel visibility state and min max user filters,Generates react-grid-layout coordinates and renders charts inside movable cards,Configurable analytics panel board,SOL-046
70,1,-,Support Page,,SUPPORT_Page,Collect user help requests with contextual navigation,Name email and message fields plus submit action,Renders support form under shared sidebar and header shell,Structured support intake UI,SOL-011
71,1,-,Logs Page,,LOGS_Page,Provide logs section scaffold under shared shell,Route navigation to logs page and settings access,Renders logs header shell and reserved content area for logs support,Logs module placeholder ready for expansion,SOL-053
72,1,-,Context Mini Bar Chart Page,,CTX_BarMini,Render lightweight monthly sales bar chart demo,Static month value dataset,Calculates max value and scales each column height proportionally,Compact comparative bar visualization,SOL-009
73,1,-,Theme and Multi-Context Analytics Page,,THEME_ContextAnalytics,Manage multi-scope filtering panel controls and chart workbench,Global page panel filters tab switches and chart context menus,Applies global page and panel filters supports cross-filtering drag reorder maximize modal and drill interactions,Advanced context-aware analytics workspace,SOL-046
74,2,Theme and Multi-Context Analytics Page,Filter Sidebar Tabs,,THEME_FilterTabs,Separate filter operations into filter history and generate areas,Tab selection and refresh actions for cross global and individual filters,Maintains scoped filter states and provides reset actions for each filter domain,Controlled filter governance UI,SOL-046
75,2,Theme and Multi-Context Analytics Page,Maximize Modal with Drag Resize,,THEME_MaximizeModal,Allow focused analysis in movable resizable modal,Panel maximize action and modal resize drag interactions,Renders portal modal with draggable header and directional resize handles,Expanded panel inspection experience,SOL-046
76,2,Theme and Multi-Context Analytics Page,Drillable Panel with Cross Filtering,,THEME_DrillablePanel,Drive cross-panel filtering from interactive bar selection,Bar click and context menu actions on primary panel,Updates selected months and propagates otherPanelsFilteredMonths to downstream panels,Linked panel filtering behavior,SOL-046
